ego_s,s_ahead
2572.470521100865,2598.0566149868337
2574.121115789736,2599.704864141327
2575.7679377204,2601.352946164513
2577.4194098365965,2603.0009269021834
2579.0751086801183,2604.6488639385484
2580.7269089196816,2606.297307564498
2582.37493260923,2607.9466315604873
2584.0268015670567,2609.59646352464
2585.683416015665,2611.246315117997
2587.336871929244,2612.895600071976
2588.985567255162,2614.5435792784256
2590.6367992020987,2616.1922287493153
2592.294294567482,2617.8431519964447
2593.950427476985,2619.4947015016633
2595.598881137597,2621.1465727444565
2597.2454248199315,2622.7989370728974
2598.8984290151193,2624.4523920372226
2600.5535679174027,2626.105697443507
2602.2015015150128,2627.7575625955947
2603.845311952064,2629.407328720704
2605.4944007588165,2631.0560453883713
2607.148462564477,2632.7064247948797
2608.7992651798113,2634.358796801789
2610.4474672108686,2636.011809412209
2612.1002858186835,2637.6651800223253
2613.755829774643,2639.318749693811
2615.406263966058,2640.9724885105516
2617.054717578826,2642.6263722779936
2618.7077920592237,2644.2802486671712
2620.365769124549,2645.934133755558
2622.0203703631987,2647.5882427052043
2623.6703985828553,2649.2422054843955
2625.323535753006,2650.895936151335
2626.984043440832,2652.54969240462
2628.653615071104,2654.2031673517367
2630.3183108888184,2655.8564834573763
2631.964750684291,2657.5098543257145
2633.595578801871,2659.1627334823734
2635.222786343538,2660.814989742512
2636.856928677923,2662.467738146901
2638.5022949549816,2664.121923800778
2640.152098455648,2665.777176723724
2641.7982252029333,2667.4328731016953
2643.4446413703654,2669.0888330881685
2645.0993041003558,2670.744953919251
2646.757258521083,2672.4006913309377
2648.4084433541866,2674.056492838044
2650.05473437559,2675.7129133944272
2651.706030670381,2677.3693797539217
2653.361888958571,2679.025912097068
2655.0140046076713,2680.682912013941
2656.662675860858,2682.3400032495115
2658.3155894713855,2683.997112703445
2659.972511239706,2685.6546090333222
2661.6256651951808,2687.312311752054
2663.274838243797,2688.969932044423
2664.9275785888894,2690.627911918212
2666.5875474350814,2692.286190584327
2668.2461336631245,2693.944355128067
2669.89606129968,2695.60281533553
2671.542580706545,2697.261676446153
2673.1949259330936,2698.920403214915
2674.8511301444128,2700.579343489324
2676.501911088864,2702.2387704603375
2678.148553837542,2703.898027347698
2679.800815046051,2705.5574930748335
2681.458238948918,2707.2174875586743
2683.1112030787367,2708.8773250677855
2684.7603362931286,2710.5372941378882
2686.414437564557,2712.19779213755
2688.0735841855144,2713.8582418193982
2689.7291722197865,2715.5187651397578
2691.3796769312553,2717.1797300568405
2693.0325773863847,2718.8407583853204
2694.6929460545257,2720.501790313228
2696.352928771825,2722.1632547825448
2698.0031132226395,2723.8248957423334
2699.6479102740022,2725.4864556521757
2701.2984354044647,2727.14842360033
2702.954622041463,2728.8106349346945
2704.6078654840035,2730.472740238577
2706.2583268948556,2732.1352427678657
2707.9136662665305,2733.797977260741
2709.574166042634,2735.4606851536696
2711.2310626652593,2737.123670787099
2712.882534782343,2738.787011537287
2714.536191511507,2740.4502357028396
2716.1979097240765,2742.113707404576
2717.8592558347264,2743.7776715569557
2719.5100858469746,2745.4416414308334
2721.1549319215765,2747.10575283292
2722.805250465791,2748.770154268745
2724.4619140563,2750.434719689846
2726.117161900634,2752.09931068541
2727.7689599711157,2753.7638856550384
2729.42396126763,2755.4284581125667
2731.0861265972617,2757.093028039613
2732.7473259578974,2758.7575956257506
2734.3999579200085,2760.4221455408333
2736.0496762181556,2762.0867087758456
2737.706904358801,2763.75127015057
2739.36745139275,2765.41583015467
2741.020193181789,2767.080389252968
2742.667680482228,2768.7443994442697
2744.320486361869,2770.404964778482
2745.9797755278696,2772.05861724171
2747.6370886566356,2773.7031053100295
2749.289644983,2775.337537746558
2750.944879344175,2776.9616067824045
2752.608477754414,2778.5753265304243
2754.2717076964723,2780.178925885216
2755.9242454517253,2781.780875157606
2757.5697428667004,2783.3854095639244
2759.2198445647696,2784.992467797974
2760.8778889161968,2786.602186762888
2762.535699141039,2788.2144295251287
2764.187925855835,2789.8117530276586
2765.8410023901547,2791.3881872534353
2767.503707117425,2792.9480808499857
2769.1681479077342,2794.4928419361213
2770.8201837083298,2796.0228928570964
2772.4603870957794,2797.5388151622333
2774.101739229337,2799.0411923530455
2775.7531942619707,2800.529876394036
2777.408950985991,2802.0046252356506
2779.0587521055218,2803.4661107057354
2780.705515290482,2804.914489796303
2782.3589324819127,2806.3495210724604
2784.014512183916,2807.7711448766713
2785.6601027356774,2809.179911837816
2787.2954271236063,2810.575947392406
2788.9288675264847,2811.961021739585
2790.5557232575343,2813.346115916086
2792.1642625791387,2814.7332402971833
2793.7557246523156,2816.122522215867
2795.3418680348495,2817.513627192892
2796.9226089517742,2818.9026522264708
2798.487855762753,2820.265197384348
2800.035451498582,2821.6029179865063
2801.570287758119,2822.9195404132092
2803.0896158239434,2824.2165992424516
2804.5860482773533,2825.495380439062
2806.0598310119435,2826.756620649622
2807.5159714069177,2828.0005057548015
2808.951791638337,2829.227068476054
2810.36308783703,2830.436554423999
2811.752170448151,2831.6296061507674
2813.121691101598,2832.8063481182717
2814.46992712852,2833.9668736401486
2815.7910777611614,2835.111153782365
2817.0872746982604,2836.239525163636
2818.35933392236,2837.353636686452
2819.613106382086,2838.465661621656
2820.8473756138355,2839.579156871248
2822.0613060801556,2840.6938532829336
2823.255047894149,2841.809903180548
2824.434847255894,2842.925873480811
2825.600806073657,2844.007233050843
2826.753300374389,2845.051467562903
2827.8858408279434,2846.077153217414
2828.997072063731,2847.110243130562
2830.085430665967,2848.1670582875868
2831.156282382817,2849.2470373985475
2832.2182355053806,2850.337549521371
2833.2736623422165,2851.423723673565
2834.3188328665374,2852.4983445430507
2835.3531760619303,2853.563205158853
2836.380052852577,2854.6248370460316
2837.399977837371,2855.689073734259
2838.412282806165,2856.758148347487
2839.4201173356737,2857.8306291001927
2840.4253704746166,2858.9039213887145
2841.4267275310835,2859.97604000426
2842.4249865960674,2861.0461598606494
2843.4222240048,2862.115073877538
2844.418162908437,2863.183606718064
2845.41256096033,2864.2525833663954
2846.4067322219694,2865.3226144858086
2847.401713256676,2866.392938446288
2848.39722959489,2867.4632798778284
2849.393923630025,2868.5330591285806
2850.392466784078,2869.6023985289708
2851.3924307453412,2870.6717253192305
2852.3938777018266,2871.7412227912446
2853.3976931483116,2872.810709272903
2854.404090389264,2873.8801235499836
2855.4127339961406,2874.949577043519
2856.4240517007647,2876.019026661167
2857.4377988760543,2877.088651994386
2858.4539757399034,2878.158024248416
2859.472826855534,2879.22736814925
2860.494657556186,2880.2963320553376
2861.5190709461363,2881.3652189154946
2862.545914741411,2882.4330336114695
2863.5750667585708,2883.500014410594
2864.6067101012814,2884.5662069367977
2865.6408759450305,2885.6313634027406
2866.67735060373,2886.695340189715
2867.716133586864,2887.758283346737
2868.756614834041,2888.8199839216195
2869.7989798695853,2889.8807124596183
2870.843440900693,2890.940529089657
2871.8898674023044,2891.999789764929
2872.937964420552,2893.0582974581384
2873.987549360815,2894.1161075275263
2875.0383279162356,2895.173159160188
2876.090404169366,2896.2296725060105
2877.144262944641,2897.2857473240824
2878.199477498373,2898.3414743097424
2879.2553535909697,2899.3966585013713
2880.3116751705466,2900.451361428481
2881.369417179067,2901.5056248298374
2882.428270813684,2902.5595536037567
2883.4882023338096,2903.6133908059446
2884.549386468872,2904.667122843452
2885.6119476925282,2905.720650678543
2886.6756377017223,2906.7741833320297
2887.740562019213,2907.8276888400983
2888.806441452176,2908.8812642730154
2889.8734503728056,2909.9350283408994
2890.941547957757,2910.9888301496353
2892.0113973615676,2912.0429160543717
2893.082598581301,2913.0974387327738
2894.1547637629296,2914.1521221887997
2895.227972448024,2915.207117692104
2896.302217401682,2916.2623405908525
2897.3774018897698,2917.317995919724
2898.453357241063,2918.373878693547
2899.5302839530345,2919.429894607291
2900.60791399889,2920.4859236628395
2901.685798318679,2921.542089336758
2902.7638160417437,2922.598496938327
2903.8420826835463,2923.6550979694425
2904.920559763907,2924.7118330872795
2905.9991751603375,2925.7687015789843
2907.077636575303,2926.825715316678
2908.155902121879,2927.8827108054725
2909.2338018568175,2928.939790264763
2910.3115194579195,2929.996955618303
2911.388945382425,2931.054115359572
2912.465569134167,2932.1112522350313
2913.5415734126923,2933.1683836978405
2914.617156940448,2934.225447592846
2915.6923275767863,2935.2824419040558
2916.7667868866974,2936.339407346715
2917.8405612717725,2937.3962818939553
2918.913595017607,2938.4530693195948
2919.9854239518872,2939.5097947015674
2921.055892500841,2940.56642166959
2922.125523482198,2941.6229870241373
2923.194346077667,2942.679472118476
2924.262278605442,2943.7358637563084
2925.329311145686,2944.7922189324754
2926.3955140477874,2945.8484351482525
2927.460761153988,2946.9046332640623
2928.5251878499707,2947.9607631154518
2929.5889005006948,2949.016846349314
2930.6518100703283,2950.0728838318582
2931.713886621401,2951.128893972805
2932.7752663541105,2952.184902974659
